modelo,prompt,metrica,valor,arquivo
corpus_split,Original,flesch,5.94345,metrics_corpus_split2_Original_0.json
corpus_split,Original,sentences_per_paragraph,14.0,metrics_corpus_split2_Original_0.json
corpus_split,Original,syllables_per_content_word,2.95673,metrics_corpus_split2_Original_0.json
corpus_split,Original,words_per_sentence,45.21429,metrics_corpus_split2_Original_0.json
corpus_split,Original,noun_ratio,0.44234,metrics_corpus_split2_Original_0.json
corpus_split,Original,cw_freq_brwac,4.02746,metrics_corpus_split2_Original_0.json
corpus_split,Original,brunet,12.27227,metrics_corpus_split2_Original_0.json
corpus_split,Original,honore,924.76445,metrics_corpus_split2_Original_0.json
corpus_split,Original,ttr,0.71438,metrics_corpus_split2_Original_0.json
corpus_split,Original,gunning_fox,33.82031,metrics_corpus_split2_Original_0.json
corpus_split,Original,flesch,19.13479,metrics_corpus_split2_Original_1.json
corpus_split,Original,sentences_per_paragraph,60.0,metrics_corpus_split2_Original_1.json
corpus_split,Original,syllables_per_content_word,3.14468,metrics_corpus_split2_Original_1.json
corpus_split,Original,words_per_sentence,21.95,metrics_corpus_split2_Original_1.json
corpus_split,Original,noun_ratio,0.5186,metrics_corpus_split2_Original_1.json
corpus_split,Original,cw_freq_brwac,3.22615,metrics_corpus_split2_Original_1.json
corpus_split,Original,brunet,12.7268,metrics_corpus_split2_Original_1.json
corpus_split,Original,honore,946.39119,metrics_corpus_split2_Original_1.json
corpus_split,Original,ttr,0.72511,metrics_corpus_split2_Original_1.json
corpus_split,Original,gunning_fox,25.87947,metrics_corpus_split2_Original_1.json
corpus_split,Original,flesch,12.02146,metrics_corpus_split2_Original_2.json
corpus_split,Original,sentences_per_paragraph,42.0,metrics_corpus_split2_Original_2.json
corpus_split,Original,syllables_per_content_word,2.95016,metrics_corpus_split2_Original_2.json
corpus_split,Original,words_per_sentence,31.30952,metrics_corpus_split2_Original_2.json
corpus_split,Original,noun_ratio,0.54677,metrics_corpus_split2_Original_2.json
