Posição,Modelo,Prompt,Score_SAW,flesch,words_per_sentence,gunning_fox,cw_freq_brwac,syllables_per_content_word
1,Ministral 3 (3B),Zero-Shot,0.8101,62.31,11.28,17.16,3.57,2.48
2,Llama 3.1 (8B),Zero-Shot,0.7431,43.98,9.46,18.88,4.69,2.86
3,Qwen3-32B,IIB,0.6121,45.83,9.81,19.32,3.56,2.74
4,Ministral 3 (3B),IIB,0.5913,50.97,11.92,19.03,3.42,2.66
5,Ministral 3 (3B),ToT,0.5769,49.15,13.57,19.75,4.15,2.77
6,Gemini Flash 3.5,IIB,0.5634,51.26,12.89,19.92,3.67,2.68
7,Gemini Flash 3.5,Zero-Shot,0.4825,43.36,13.72,21.37,4.36,2.91
8,Qwen3-32B,Zero-Shot,0.4228,37.68,12.76,21.31,4.01,2.86
9,Qwen3-32B,ToT,0.4048,34.68,11.66,21.36,3.85,2.91
10,GPT-OSS 120B,ToT,0.4035,41.45,13.69,21.03,3.74,2.88
11,Gemini Flash 3.5,ToT,0.373,48.55,16.62,21.15,3.6,2.66
12,GPT-OSS 120B,IIB,0.3037,34.81,13.28,21.76,3.55,2.95
13,GPT-OSS 120B,Zero-Shot,0.2809,40.53,15.68,22.2,3.54,2.74
14,Llama 3.1 (8B),ToT,0.1968,27.43,16.59,23.36,4.65,3.08
15,Llama 3.1 (8B),IIB,0.0843,25.72,17.22,23.66,4.13,3.15
