modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
llama-3,"Identity,_Intent_and_Behaviour",flesch,10,25.72084,15.87778,29.10808,24.24273,13.14995,37.39268,3.48855,47.43269
llama-3,"Identity,_Intent_and_Behaviour",words_per_sentence,10,17.22073,4.63123,17.12917,6.23783,14.62826,20.8661,10.53448,24.07143
llama-3,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,10,1.43473,0.39659,1.34848,0.69977,1.08148,1.78125,1.0,2.0
llama-3,"Identity,_Intent_and_Behaviour",syllables_per_content_word,10,3.15272,0.25849,3.12617,0.45284,2.91095,3.3638,2.82895,3.50781
llama-3,"Identity,_Intent_and_Behaviour",cw_freq_brwac,10,4.12946,0.33043,4.0674,0.53839,3.90253,4.44093,3.69556,4.58099
llama-3,"Identity,_Intent_and_Behaviour",noun_ratio,10,0.38386,0.04787,0.38484,0.04133,0.37126,0.41259,0.27737,0.4451
llama-3,"Identity,_Intent_and_Behaviour",ttr,10,0.70681,0.04568,0.71619,0.02444,0.69767,0.72211,0.607,0.77924
llama-3,"Identity,_Intent_and_Behaviour",gunning_fox,10,23.65878,3.35225,23.48305,5.02559,21.47901,26.5046,18.87828,28.73836
llama-3,"Identity,_Intent_and_Behaviour",brunet,10,11.72629,0.86104,11.60424,1.29404,11.23401,12.52806,10.22528,12.76766
llama-3,"Identity,_Intent_and_Behaviour",honore,10,863.41427,166.74139,775.22837,219.04526,750.28373,969.32899,710.65544,1226.87504
llama-3,Tree_of_Thought,flesch,10,27.43152,16.9685,29.86966,13.93979,23.37283,37.31262,-1.6325,54.5825
llama-3,Tree_of_Thought,words_per_sentence,10,16.58774,3.8756,16.4,4.22768,13.6116,17.83929,11.57143,24.5
llama-3,Tree_of_Thought,sentences_per_paragraph,10,4.90833,2.44774,6.0,4.25,2.5,6.75,1.33333,8.0
llama-3,Tree_of_Thought,syllables_per_content_word,10,3.07762,0.28478,3.05084,0.2795,2.90502,3.18453,2.64286,3.54945
llama-3,Tree_of_Thought,cw_freq_brwac,10,4.6451,0.3463,4.71003,0.41411,4.45972,4.87383,4.10176,5.07556
llama-3,Tree_of_Thought,noun_ratio,10,0.29451,0.06813,0.28926,0.11386,0.2369,0.35076,0.21111,0.39831
llama-3,Tree_of_Thought,ttr,10,0.71912,0.04619,0.71819,0.05737,0.69457,0.75194,0.62667,0.79012
llama-3,Tree_of_Thought,gunning_fox,10,23.35808,3.42773,22.69333,4.17565,20.98826,25.16391,18.9,29.11973
llama-3,Tree_of_Thought,brunet,10,10.04344,0.56601,9.91229,0.72753,9.76103,10.48855,9.1386,10.94648
llama-3,Tree_of_Thought,honore,10,969.7367,172.61304,922.99636,221.34192,848.09335,1069.43527,781.697,1322.81697
llama-3,Zero_Shot,flesch,10,43.98094,17.16874,42.60901,27.53062,29.40373,56.93435,21.13147,72.30411
llama-3,Zero_Shot,words_per_sentence,10,9.46025,2.84683,9.04571,0.89216,8.69666,9.58882,5.55556,15.0
llama-3,Zero_Shot,sentences_per_paragraph,10,1.19155,0.37565,1.0,0.14286,1.0,1.14286,1.0,2.1
llama-3,Zero_Shot,syllables_per_content_word,10,2.86239,0.27483,2.94123,0.4291,2.64669,3.07579,2.42647,3.17284
llama-3,Zero_Shot,cw_freq_brwac,10,4.68591,0.4795,4.80865,0.13265,4.74446,4.87711,3.59676,5.27069
llama-3,Zero_Shot,noun_ratio,10,0.31771,0.07994,0.29335,0.04838,0.2725,0.32088,0.23503,0.5
llama-3,Zero_Shot,ttr,10,0.66512,0.05859,0.67022,0.07181,0.63263,0.70444,0.55,0.74862
llama-3,Zero_Shot,gunning_fox,10,18.88246,2.10787,19.24042,3.14172,17.32858,20.47031,15.42222,21.46667
llama-3,Zero_Shot,brunet,10,11.40464,0.97894,11.29512,1.73678,10.49525,12.23203,10.33686,12.72822
llama-3,Zero_Shot,honore,10,770.86522,118.45665,737.89271,123.5716,683.0296,806.6012,646.30808,1001.10942
gpt-oss-120b,"Identity,_Intent_and_Behaviour",flesch,10,34.80906,14.0491,31.26459,15.19857,26.69552,41.89409,15.49959,65.12176
gpt-oss-120b,"Identity,_Intent_and_Behaviour",words_per_sentence,10,13.27911,4.30628,13.33582,5.05354,9.5119,14.56545,8.2,21.90698
gpt-oss-120b,"Identity,_Intent_and_Behaviour",sentences_per_paragraph,10,1.6397,0.47393,1.41111,0.57412,1.32172,1.89583,1.21739,2.625
gpt-oss-120b,"Identity,_Intent_and_Behaviour",syllables_per_content_word,10,2.94667,0.21656,3.02988,0.26359,2.80576,3.06934,2.60606,3.25418
gpt-oss-120b,"Identity,_Intent_and_Behaviour",cw_freq_brwac,10,3.55344,0.43781,3.54195,0.53034,3.29942,3.82976,2.7352,4.21396
gpt-oss-120b,"Identity,_Intent_and_Behaviour",noun_ratio,10,0.48001,0.07608,0.48562,0.07902,0.43124,0.51026,0.37196,0.64
gpt-oss-120b,"Identity,_Intent_and_Behaviour",ttr,10,0.72817,0.04944,0.74362,0.02575,0.72321,0.74896,0.61292,0.79409
gpt-oss-120b,"Identity,_Intent_and_Behaviour",gunning_fox,10,21.76436,3.16521,22.2083,2.82963,20.52754,23.35718,14.74341,26.38487
gpt-oss-120b,"Identity,_Intent_and_Behaviour",brunet,10,12.07509,0.80987,12.01736,1.29126,11.51613,12.80739,10.90636,13.20305
gpt-oss-120b,"Identity,_Intent_and_Behaviour",honore,10,910.19,133.87472,945.49041,204.71714,784.79381,989.51095,725.10404,1119.15424
gpt-oss-120b,Tree_of_Thought,flesch,10,41.44676,10.08052,40.24211,11.74692,34.46359,46.21052,30.21097,63.92092
gpt-oss-120b,Tree_of_Thought,words_per_sentence,10,13.69152,5.02986,12.63333,7.45313,9.54687,17.0,8.02564,21.29412
gpt-oss-120b,Tree_of_Thought,sentences_per_paragraph,10,1.71977,0.63921,1.41478,0.44237,1.3362,1.77857,1.30769,3.33333
gpt-oss-120b,Tree_of_Thought,syllables_per_content_word,10,2.88172,0.21394,2.95577,0.25841,2.76323,3.02163,2.46429,3.11976
gpt-oss-120b,Tree_of_Thought,cw_freq_brwac,10,3.74207,0.56636,3.79473,0.73226,3.45584,4.18811,2.5721,4.4001
gpt-oss-120b,Tree_of_Thought,noun_ratio,10,0.4414,0.10457,0.43264,0.10275,0.37648,0.47923,0.30657,0.67778
gpt-oss-120b,Tree_of_Thought,ttr,10,0.76491,0.03063,0.76407,0.04186,0.7496,0.79146,0.7,0.79974
gpt-oss-120b,Tree_of_Thought,gunning_fox,10,21.03315,2.65334,20.98415,3.34646,19.53278,22.87925,16.50099,25.64472
gpt-oss-120b,Tree_of_Thought,brunet,10,10.73057,0.67559,10.84509,0.86812,10.38861,11.25673,9.69343,11.47368
gpt-oss-120b,Tree_of_Thought,honore,10,1158.62711,207.96295,1249.0583,296.44717,984.64468,1281.09185,820.78185,1407.60256
gpt-oss-120b,Zero_Shot,flesch,7,40.53487,15.24151,40.15461,19.00413,32.1324,51.13653,16.44563,60.60598
gpt-oss-120b,Zero_Shot,words_per_sentence,7,15.68303,5.61847,16.7037,6.96704,11.90909,18.87613,7.50704,24.0
